frame_idx,target_id,ts,daytime,lat,lon,x,y,w,h,clr,clr_score,cls,cls_score,lvl
718,137,1594070093.8257182,00:14:53,32.86939423827903,35.27845241739243,0.9155489504337311,0.7190797924995422,0.0078125,0.007894736714661121,2,0.6174854040145874,2,0.9976442456245422,2
733,132,1594070093.9485395,00:14:53,32.86912672146566,35.27840915338235,1.0599751472473145,0.5832629129290581,0.013671875,0.018421052023768425,6,0.6243724226951599,2,0.9949432015419006,0
659,137,1594070095.75289,00:14:55,32.86927886963364,35.27846651666517,0.8469506204128265,0.8259264230728149,0.009765625,0.007894736714661121,2,0.6174854040145874,2,0.9976442456245422,0
762,132,1594070095.7762105,00:14:55,32.869091118971006,35.278408804915784,1.097171127796173,0.503936936147511,0.013671875,0.018421052023768425,6,0.6243724226951599,2,0.9949432015419006,0
792,132,1594070097.647751,00:14:57,32.86909986829539,35.27835606058708,1.1144516468048096,0.4790890943259001,0.013671875,0.018421052023768425,6,0.6243724226951599,2,0.9949432015419006,0
1616,160,1594070178.2119596,00:16:18,32.869664751202954,35.28139533038653,0.9367939531803131,0.0772789716720581,0.01171875,0.015789473429322243,4,0.505702555179596,2,0.9774985313415527,0
1647,160,1594070180.0157752,00:16:20,32.86967582277177,35.28144930573212,0.9507779181003571,0.08815118670463562,0.01171875,0.015789473429322243,4,0.505702555179596,2,0.9774985313415527,0
1670,160,1594070182.5038579,00:16:22,32.8696977955376,35.28146477544695,0.9594691395759583,0.09610137343406677,0.01171875,0.015789473429322243,4,0.505702555179596,2,0.9774985313415527,0
1705,162,1594070187.2584987,00:16:27,32.869680823580694,35.28146101942547,0.987823486328125,0.11549362540245056,0.013671875,0.018421052023768425,4,0.4692014157772064,2,0.9180619120597839,0
1736,162,1594070189.4458756,00:16:29,32.869700028846204,35.28147828396188,0.993812084197998,0.12643614411354065,0.013671875,0.018421052023768425,4,0.4692014157772064,2,0.9180619120597839,0
1759,162,1594070192.1977098,00:16:32,32.86970844602004,35.28152931952761,0.9931575357913971,0.12684530019760132,0.013671875,0.018421052023768425,4,0.4692014157772064,2,0.9180619120597839,0
2171,163,1594070236.3684285,00:17:16,32.873673561805404,35.280530590832,0.07782280445098877,0.9109311699867249,0.01171875,0.015789473429322243,4,0.2532765865325928,2,0.9010890126228333,0
2201,163,1594070238.8294446,00:17:18,32.87369369026463,35.280500230592224,0.0885801613330841,0.8689611852169037,0.01171875,0.015789473429322243,4,0.2532765865325928,2,0.9010890126228333,0
2230,163,1594070243.1400754,00:17:23,32.87375900919692,35.28041504320832,0.08981505036354065,0.8580269515514374,0.01171875,0.015789473429322243,4,0.2532765865325928,2,0.9010890126228333,2
2470,166,1594070267.0752046,00:17:47,32.87314214752382,35.27919553009014,0.5692631751298904,0.908927321434021,0.0078125,0.028947368264198303,4,0.4079398810863495,3,0.959984540939331,0
2488,167,1594070271.0158784,00:17:51,32.87254132112176,35.279446474999304,0.7601891160011292,0.5752427279949188,0.01171875,0.015789473429322243,5,0.4429931640625,2,0.9996788501739502,2
2495,166,1594070271.0354147,00:17:51,32.87314448426791,35.27919663222635,0.5709886103868484,0.8836418986320496,0.005859375,0.028947368264198303,2,0.41238200664520264,3,0.9315901398658752,0
2516,167,1594070274.1181395,00:17:54,32.8725421679129,35.27944140914655,0.7605624794960022,0.5514722988009453,0.01171875,0.015789473429322243,5,0.4429931640625,2,0.9996788501739502,2
2517,170,1594070274.393451,00:17:54,32.8731863162845,35.27904409109788,0.5863275304436684,0.9476340115070343,0.01171875,0.015789473429322243,5,0.3724108934402466,2,0.9795160889625549,0
2518,169,1594070275.283093,00:17:55,32.873214091154225,35.27908864233527,0.5658313035964966,0.9357230067253113,0.005859375,0.015789473429322243,4,0.6517420411109924,2,0.9996542930603027,0
2525,166,1594070277.2086074,00:17:57,32.87314217851042,35.27921836488278,0.569261223077774,0.8417870700359344,0.0078125,0.02368421107530594,4,0.4423951208591461,3,0.9311285614967346,2
2547,167,1594070278.9728272,00:17:58,32.87256522446752,35.27940848288592,0.761359453201294,0.5510717146098614,0.01171875,0.015789473429322243,5,0.4429931640625,2,0.9996788501739502,2
2561,170,1594070278.9769197,00:17:58,32.87320645954106,35.27900723199871,0.5845601260662079,0.9373932182788849,0.01171875,0.015789473429322243,5,0.3724108934402466,2,0.9795160889625549,0
2563,172,1594070280.6830895,00:18:00,32.872541906203466,35.279470121330576,0.7563458979129791,0.5102559626102448,0.021484375,0.015789473429322243,5,0.5225765705108643,2,0.9963874816894531,2
2573,169,1594070280.7470405,00:18:00,32.87324428915474,35.27902684409268,0.5646382942795753,0.9309471547603607,0.005859375,0.015789473429322243,4,0.6517420411109924,2,0.9996542930603027,0
2583,166,1594070283.082537,00:18:03,32.873171127127236,35.27921398969995,0.5558402203023434,0.8109025359153748,0.005859375,0.028947368264198303,2,0.41305485367774963,3,0.9845113754272461,2
2613,172,1594070284.3106596,00:18:04,32.872559617395666,35.27943225650205,0.7521148920059204,0.5026005865074694,0.021484375,0.015789473429322243,5,0.5225765705108643,2,0.9963874816894531,2
2622,176,1594070284.3358974,00:18:04,32.87323275817879,35.279021818565326,0.5609897300601006,0.8996535837650299,0.009765625,0.007894736714661121,5,0.5178319811820984,2,0.9758768081665039,0
2623,175,1594070286.094167,00:18:06,32.8732690265279,35.27908451317843,0.5340012945234776,0.8813817799091339,0.005859375,0.015789473429322243,4,0.7510206699371338,2,0.9537918567657471,0
2636,166,1594070287.7883298,00:18:07,32.87319982538253,35.279207997138485,0.5307800099253654,0.7904384732246399,0.005859375,0.028947368264198303,4,0.40390729904174805,3,0.8625673651695251,2
2653,176,1594070287.804999,00:18:07,32.87324798601881,35.27901975834263,0.5406351089477539,0.8864574134349823,0.009765625,0.007894736714661121,5,0.5178319811820984,2,0.9758768081665039,0
2667,175,1594070289.383272,00:18:09,32.873277178780796,35.27905081782205,0.5132090300321579,0.8694895803928375,0.005859375,0.015789473429322243,4,0.7625023722648621,2,0.997672975063324,2
2681,166,1594070291.48151,00:18:11,32.8732088127604,35.27919537149614,0.5074935019947588,0.776763528585434,0.0078125,0.02631578966975212,4,0.3937971293926239,3,0.9935790300369263,2
2697,175,1594070292.3008835,00:18:12,32.87328394226081,35.279047464543176,0.4921357659623027,0.8580535352230072,0.005859375,0.015789473429322243,4,0.7446628212928772,2,0.9882638454437256,2
2713,166,1594070294.049252,00:18:14,32.8732112909238,35.2791898088228,0.4856401989236474,0.7668187618255615,0.0078125,0.028947368264198303,4,0.43152013421058655,3,0.910621702671051,2
2725,175,1594070294.864018,00:18:14,32.87328871062554,35.27905003840974,0.4682282991707325,0.8483299911022186,0.0078125,0.018421052023768425,4,0.7428814172744751,2,0.9972526431083679,2
